
2017-05-31,Mirage,7264,T,16,11,5,0,7911,CT,7,4,3,0,2311289/spraynpray-vs-kungar-headshot-cup-2
2017-05-31,Overpass,4991,T,11,5,6,0,5995,CT,16,10,6,0,2311234/fnatic-vs-g2-esl-pro-league-season-5-finals
2017-05-30,Cache,6673,CT,16,5,10,1,6615,T,19,10,5,4,2311221/nrg-vs-optic-esl-pro-league-season-5-finals
2017-05-29,Cache,7187,T,16,8,8,0,7615,CT,12,7,5,0,2311272/nexus-vs-hop-arcanebet-balkan-proleague-season-2
2017-05-29,Cobblestone,7187,T,16,7,9,0,7615,CT,12,8,4,0,2311272/nexus-vs-hop-arcanebet-balkan-proleague-season-2
2017-05-29,Train,6010,CT,16,10,6,0,7218,T,6,5,1,0,2310724/chiefs-vs-funky-monkeys-aoc-cybergamer-premier-league-winter-2017
2017-05-29,Nuke,6010,CT,16,12,4,0,7218,T,3,3,0,0,2310724/chiefs-vs-funky-monkeys-aoc-cybergamer-premier-league-winter-2017
2017-05-29,Overpass,6978,T,16,11,5,0,4456,CT,6,4,2,0,2311149/singularity-vs-epsilon-cevo-main-season-12-europe
2017-05-29,Inferno,6978,T,16,10,6,0,4456,CT,8,5,3,0,2311149/singularity-vs-epsilon-cevo-main-season-12-europe
2017-05-29,Cobblestone,6322,T,16,7,9,0,7668,CT,10,8,2,0,2311249/gameplaydna-vs-wasd-global-offensive-champions-league-season-6
2017-05-29,Train,6322,T,19,9,6,4,7668,CT,17,6,9,2,2311249/gameplaydna-vs-wasd-global-offensive-champions-league-season-6
2017-05-30,Mirage,6762,T,19,8,7,4,7187,CT,15,7,8,0,2311273/bpro-vs-nexus-esl-south-east-europe-championship-season-5
2017-05-30,Inferno,6762,T,9,7,2,0,7187,CT,16,8,8,0,2311273/bpro-vs-nexus-esl-south-east-europe-championship-season-5
2017-05-30,Cobblestone,6762,T,7,6,1,0,7187,CT,16,9,7,0,2311273/bpro-vs-nexus-esl-south-east-europe-championship-season-5
2017-05-31,Nuke,7397,CT,16,7,9,0,6896,T,13,8,5,0,2311012/outlaws-vs-pride-dolphincs-shoot-em-up-3
2017-05-31,Mirage,7397,CT,17,11,4,2,6896,T,19,4,11,4,2311012/outlaws-vs-pride-dolphincs-shoot-em-up-3
2017-05-31,Train,7397,CT,16,6,10,0,6896,T,10,9,1,0,2311012/outlaws-vs-pride-dolphincs-shoot-em-up-3
2017-05-30,Cobblestone,7187,T,17,8,7,2,6322,CT,19,7,8,4,2311312/nexus-vs-gameplaydna-global-offensive-champions-league-season-6
2017-05-30,Cache,7187,T,16,10,6,0,6322,CT,5,5,0,0,2311312/nexus-vs-gameplaydna-global-offensive-champions-league-season-6
2017-05-30,Inferno,7187,T,16,11,5,0,6322,CT,5,4,1,0,2311312/nexus-vs-gameplaydna-global-offensive-champions-league-season-6
2017-05-30,Cache,6707,CT,17,5,10,2,7924,T,19,10,5,4,2311126/ronin-vs-rise-nation-cevo-main-season-12-north-america
2017-05-30,Mirage,6707,CT,14,5,9,0,7924,T,16,10,6,0,2311126/ronin-vs-rise-nation-cevo-main-season-12-north-america
2017-05-29,Nuke,4674,T,16,12,4,0,6978,CT,3,3,0,0,2311255/ldlc-vs-singularity-farmskins-championship-1
2017-05-29,Overpass,4674,T,16,14,2,0,6978,CT,7,1,6,0,2311255/ldlc-vs-singularity-farmskins-championship-1
2017-05-29,Mirage,7212,T,16,10,6,0,6468,CT,11,5,6,0,2310726/dark-sided-vs-legacy-aoc-cybergamer-premier-league-winter-2017
2017-05-29,Inferno,7212,T,16,10,6,0,6468,CT,6,5,1,0,2310726/dark-sided-vs-legacy-aoc-cybergamer-premier-league-winter-2017
2017-05-31,Overpass,4602,CT,13,11,2,0,5395,T,16,4,12,0,2311256/tricked-vs-penta-farmskins-championship-1
2017-05-31,Cache,4602,CT,9,8,1,0,5395,T,16,7,9,0,2311256/tricked-vs-penta-farmskins-championship-1
2017-05-31,Overpass,7397,T,16,10,6,0,7870,CT,8,5,3,0,2311307/outlaws-vs-invictus-aquilas-esl-south-east-europe-championship-season-5
2017-05-31,Cobblestone,7397,T,8,5,3,0,7870,CT,16,10,6,0,2311307/outlaws-vs-invictus-aquilas-esl-south-east-europe-championship-season-5
2017-05-31,Inferno,7397,T,16,12,4,0,7870,CT,5,3,2,0,2311307/outlaws-vs-invictus-aquilas-esl-south-east-europe-championship-season-5
2017-05-29,Inferno,7952,CT,16,11,5,0,7953,T,9,4,5,0,2311309/freeibp-vs-plebverkstad-yoggi-yalla-cup-2017-qualifier-8
2017-05-29,Mirage,7952,CT,16,10,6,0,7953,T,5,5,0,0,2311309/freeibp-vs-plebverkstad-yoggi-yalla-cup-2017-qualifier-8
2017-05-30,Mirage,7946,T,14,11,3,0,7264,CT,16,4,12,0,2311207/attackieren-vs-spraynpray-global-offensive-champions-league-season-6
2017-05-30,Train,7946,T,10,6,4,0,7264,CT,16,9,7,0,2311207/attackieren-vs-spraynpray-global-offensive-champions-league-season-6
2017-05-29,Overpass,7713,T,9,2,7,0,6807,CT,16,13,3,0,2311296/north-academy-vs-alpha-binary-dragons-csgopolygon-cup-6
2017-05-29,Cache,7713,T,16,11,5,0,6807,CT,10,4,6,0,2311296/north-academy-vs-alpha-binary-dragons-csgopolygon-cup-6
2017-05-29,Nuke,7713,T,16,13,3,0,6807,CT,7,2,5,0,2311296/north-academy-vs-alpha-binary-dragons-csgopolygon-cup-6
2017-05-29,Cache,7947,CT,8,2,6,0,7187,T,16,13,3,0,2311248/veneera-vs-nexus-global-offensive-champions-league-season-6
2017-05-29,Inferno,7947,CT,4,4,0,0,7187,T,16,11,5,0,2311248/veneera-vs-nexus-global-offensive-champions-league-season-6
2017-05-30,Nuke,7613,T,6,2,4,0,4602,CT,16,13,3,0,2311262/red-reserve-vs-tricked-farmskins-championship-1
2017-05-30,Train,7613,T,19,11,4,4,4602,CT,17,4,11,2,2311262/red-reserve-vs-tricked-farmskins-championship-1
2017-05-30,Cobblestone,7613,T,16,9,7,0,4602,CT,13,6,7,0,2311262/red-reserve-vs-tricked-farmskins-championship-1
2017-05-29,Inferno,7952,CT,22,7,8,7,7471,T,19,8,7,4,2311310/freeibp-vs-vinkelparty-yoggi-yalla-cup-2017-qualifier-8
2017-05-29,Mirage,7952,CT,16,7,9,0,7471,T,10,8,2,0,2311310/freeibp-vs-vinkelparty-yoggi-yalla-cup-2017-qualifier-8
2017-05-29,Cache,7954,CT,16,11,5,0,7471,T,4,4,0,0,2311308/tiltcentralen-vs-vinkelparty-yoggi-yalla-cup-2017-qualifier-8
2017-05-29,Mirage,7954,CT,14,8,6,0,7471,T,16,7,9,0,2311308/tiltcentralen-vs-vinkelparty-yoggi-yalla-cup-2017-qualifier-8
2017-05-29,Cobblestone,7954,CT,14,7,7,0,7471,T,16,8,8,0,2311308/tiltcentralen-vs-vinkelparty-yoggi-yalla-cup-2017-qualifier-8
2017-05-30,Train,7339,T,13,2,11,0,6745,CT,16,13,3,0,2311311/kpi-vs-extatus-binary-dragons-csgopolygon-cup-6
2017-05-30,Inferno,7339,T,2,2,0,0,6745,CT,16,13,3,0,2311311/kpi-vs-extatus-binary-dragons-csgopolygon-cup-6
2017-05-31,Cobblestone,7801,CT,16,11,5,0,7531,T,12,4,8,0,2311206/ghost-vs-miami-flamingos-cevo-main-season-12-north-america
2017-05-31,Mirage,7801,CT,16,9,7,0,7531,T,6,6,0,0,2311206/ghost-vs-miami-flamingos-cevo-main-season-12-north-america
2017-05-29,Mirage,7532,T,16,8,8,0,7713,CT,9,7,2,0,2311254/big-vs-north-academy-farmskins-championship-1
2017-05-29,Train,7532,T,16,9,7,0,7713,CT,7,6,1,0,2311254/big-vs-north-academy-farmskins-championship-1
